gene
Gpr17
Bmp4
Bcas1
Opalin
Plp1
Pdgfra
Cspg4
Pecam1
Flt1
Abcc9
Rgs5
Ptprc
Apbb1ip
Slc1a2
Aqp4
Snap25
Rbfox3
Gad1
Gad2
Slc32a1
Slc17a6
Slc17a7
Th
